direction,class_label,formula,taxonomic_overlap,exact_hit,source_uris,target_uris
generated_to_reference,Album,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Album,
generated_to_reference,Album Recording Event,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_AlbumRecording,
generated_to_reference,Artist,TO_double_prime,0.14285714285714285,False,http://www.example.org/ontology/music#Cl_Artist,
generated_to_reference,Artist (person or group),TO_double_prime,0.14285714285714285,False,http://www.example.org/ontology/music#Cl_Artist,
generated_to_reference,Band,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Band,
generated_to_reference,Band Membership (reified),TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_BandMembership,
generated_to_reference,Band membership (person‑role‑band‑time),TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Membership,
generated_to_reference,City,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_City,
generated_to_reference,Cl_CompositionEvent,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_CompositionEvent,
generated_to_reference,Cl_CriticRecordStatement,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_CriticRecordStatement,
generated_to_reference,Cl_Entity,TO_double_prime,0.06666666666666667,False,http://www.example.org/ontology/music#Cl_Entity,
generated_to_reference,Cl_Song,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Song,
generated_to_reference,Cl_Statement,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Statement,
generated_to_reference,Critic,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Critic,
generated_to_reference,"Event (e.g., concert, recording session)",TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Event,
generated_to_reference,Individual musician,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Person,
generated_to_reference,Instrument,TO_prime,0.0,True,http://www.example.org/ontology/music#Cl_Instrument,http://purl.org/ontology/mo/Instrument
generated_to_reference,Live Performance,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Performance,
generated_to_reference,Location,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Location,
generated_to_reference,Music album,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Album,
generated_to_reference,Musical group / band,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Band,
generated_to_reference,Musician,TO_double_prime,0.14285714285714285,False,http://www.example.org/ontology/music#Cl_Musician,
generated_to_reference,Performance,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Performance,
generated_to_reference,Performance (Live Event),TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Performance,
generated_to_reference,Person,TO_prime,0.0,True,http://www.example.org/ontology/music#Cl_Person,http://xmlns.com/foaf/0.1/Person
generated_to_reference,Record,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Record,
generated_to_reference,Region,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Region,
generated_to_reference,Role (musical function),TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Role,
generated_to_reference,Song‑in‑Performance,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_SongInPerformance,
generated_to_reference,Time interval,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_TimeInterval,
generated_to_reference,Track,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Track,
generated_to_reference,Track (Song),TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Track,
generated_to_reference,Track / song,TO_double_prime,0.0,False,http://www.example.org/ontology/music#Cl_Track,
reference_to_generated,Agent,TO_double_prime,0.0,False,http://xmlns.com/foaf/0.1/Agent,
reference_to_generated,CD,TO_double_prime,0.0,False,http://purl.org/ontology/mo/CD,
reference_to_generated,DAT,TO_double_prime,0.0,False,http://purl.org/ontology/mo/DAT,
reference_to_generated,DCC,TO_double_prime,0.0,False,http://purl.org/ontology/mo/DCC,
reference_to_generated,DVDA,TO_double_prime,0.0,False,http://purl.org/ontology/mo/DVDA,
reference_to_generated,Document,TO_double_prime,0.0,False,http://xmlns.com/foaf/0.1/Document,
reference_to_generated,ED2K,TO_double_prime,0.0,False,http://purl.org/ontology/mo/ED2K,
reference_to_generated,Event,TO_double_prime,0.0,False,http://purl.org/NET/c4dm/event.owl#Event,
reference_to_generated,Expression,TO_double_prime,0.0,False,http://purl.org/vocab/frbr/core#Expression,
reference_to_generated,Festival,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Festival,
reference_to_generated,Genre,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Genre,
reference_to_generated,Group,TO_double_prime,0.0,False,http://xmlns.com/foaf/0.1/Group,
reference_to_generated,Instrument,TO_prime,0.0,True,http://purl.org/ontology/mo/Instrument,http://www.example.org/ontology/music#Cl_Instrument
reference_to_generated,MD,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MD,
reference_to_generated,MagneticTape,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MagneticTape,
reference_to_generated,Manifestation,TO_double_prime,0.0,False,http://purl.org/vocab/frbr/core#Manifestation,
reference_to_generated,Medium,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Medium,
reference_to_generated,MusicalItem,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MusicalItem,
reference_to_generated,Organization,TO_double_prime,0.0,False,http://xmlns.com/foaf/0.1/Organization,
reference_to_generated,Person,TO_prime,0.0,True,http://xmlns.com/foaf/0.1/Person,http://www.example.org/ontology/music#Cl_Person
reference_to_generated,Release type,TO_double_prime,0.0,False,http://purl.org/ontology/mo/ReleaseType,
reference_to_generated,SACD,TO_double_prime,0.0,False,http://purl.org/ontology/mo/SACD,
reference_to_generated,Show,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Show,
reference_to_generated,Stream,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Stream,
reference_to_generated,Torrent,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Torrent,
reference_to_generated,Vinyl,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Vinyl,
reference_to_generated,Work,TO_double_prime,0.0,False,http://purl.org/vocab/frbr/core#Work,
reference_to_generated,activity,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Activity,
reference_to_generated,analogue signal,TO_double_prime,0.0,False,http://purl.org/ontology/mo/AnalogSignal,
reference_to_generated,arrangement,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Arrangement,
reference_to_generated,arranger,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Arranger,
reference_to_generated,audio file,TO_double_prime,0.0,False,http://purl.org/ontology/mo/AudioFile,
reference_to_generated,composer,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Composer,
reference_to_generated,composition,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Composition,
reference_to_generated,conductor,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Conductor,
reference_to_generated,corporate body,TO_double_prime,0.0,False,http://purl.org/ontology/mo/CorporateBody,
reference_to_generated,digital signal,TO_double_prime,0.0,False,http://purl.org/ontology/mo/DigitalSignal,
reference_to_generated,instrumentation,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Instrumentation,
reference_to_generated,label,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Label,
reference_to_generated,libretto,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Libretto,
reference_to_generated,listened,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Listener,
reference_to_generated,lyrics,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Lyrics,
reference_to_generated,membership,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Membership,
reference_to_generated,movement,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Movement,
reference_to_generated,music artist,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MusicArtist,
reference_to_generated,music group,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MusicGroup,
reference_to_generated,musical expression,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MusicalExpression,
reference_to_generated,musical manifestation,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MusicalManifestation,
reference_to_generated,musical work,TO_double_prime,0.0,False,http://purl.org/ontology/mo/MusicalWork,
reference_to_generated,orchestration,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Orchestration,
reference_to_generated,performance,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Performance,
reference_to_generated,performer,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Performer,
reference_to_generated,published libretto,TO_double_prime,0.0,False,http://purl.org/ontology/mo/PublishedLibretto,
reference_to_generated,published lyrics,TO_double_prime,0.0,False,http://purl.org/ontology/mo/PublishedLyrics,
reference_to_generated,published score,TO_double_prime,0.0,False,http://purl.org/ontology/mo/PublishedScore,
reference_to_generated,record,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Record,
reference_to_generated,recording,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Recording,
reference_to_generated,recording session,TO_double_prime,0.0,False,http://purl.org/ontology/mo/RecordingSession,
reference_to_generated,release,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Release,
reference_to_generated,release event,TO_double_prime,0.0,False,http://purl.org/ontology/mo/ReleaseEvent,
reference_to_generated,release status,TO_double_prime,0.0,False,http://purl.org/ontology/mo/ReleaseStatus,
reference_to_generated,score,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Score,
reference_to_generated,signal,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Signal,
reference_to_generated,signal group,TO_double_prime,0.0,False,http://purl.org/ontology/mo/SignalGroup,
reference_to_generated,solo music artist,TO_double_prime,0.14285714285714285,False,http://purl.org/ontology/mo/SoloMusicArtist,
reference_to_generated,sound,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Sound,
reference_to_generated,sound engineer,TO_double_prime,0.0,False,http://purl.org/ontology/mo/SoundEngineer,
reference_to_generated,track,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Track,
reference_to_generated,transcription,TO_double_prime,0.0,False,http://purl.org/ontology/mo/Transcription,
